worlwide_gross_income,imdb_mean_vote,quantity
2288160055.0,7.8,1.0
2288160055.0,7.8,1.0
1986925730.0,8.4,2.0
1800039292.0,7.8,1.0
1800039292.0,7.8,1.0
1800039292.0,7.8,1.0
1800039292.0,7.8,1.0
1800039292.0,7.8,1.0
1800039292.0,7.8,1.0
1369729184.0,7.1,1.0
1369729184.0,7.1,1.0
1369729184.0,7.1,1.0
1369729184.0,7.1,1.0
1369729184.0,7.1,1.0
1338416268.0,7.0,2.0
1210295927.0,6.9,2.0
1148465473.0,6.0,2.0
1108705722.0,7.6,2.0
1104770287.0,7.3,1.0
1104770287.0,7.3,1.0
1104770287.0,7.3,1.0
1104770287.0,7.3,1.0
1104770287.0,7.3,1.0
1028728039.0,7.4,6.0
1025291572.0,7.7,3.0
1002249927.0,8.1,5.0
996145226.0,7.3,1.0
996145226.0,7.3,1.0
996145226.0,7.3,1.0
995616163.0,7.1,2.0
956142810.0,6.3,2.0
950743365.0,6.5,1.0
950743365.0,6.5,1.0
950743365.0,6.5,1.0
950743365.0,6.5,1.0
950743365.0,6.5,1.0
941758426.0,7.1,1.0
941758426.0,7.1,1.0
928180956.0,7.6,1.0
928180956.0,7.6,1.0
928180956.0,7.6,1.0
928180956.0,7.6,1.0
909020030.0,7.8,1.0
909020030.0,7.8,1.0
909020030.0,7.8,1.0
909020030.0,7.8,1.0
909020030.0,7.8,1.0
880183566.0,7.8,1.0
880183566.0,7.8,1.0
880183566.0,7.8,1.0
880183566.0,7.8,1.0
880183566.0,7.8,1.0
856163598.0,6.9,2.0
847682260.0,8.1,1.0
847682260.0,8.1,1.0
847682260.0,8.1,1.0
847682260.0,8.1,1.0
785860821.0,7.9,1.0
785860821.0,7.9,1.0
785860821.0,7.9,1.0
785860821.0,7.9,1.0
785860821.0,7.9,1.0
785860821.0,7.9,1.0
785860821.0,7.9,1.0
785860821.0,7.9,1.0
785860821.0,7.9,1.0
780602073.0,7.3,9.0
775951309.0,6.8,3.0
771704762.0,7.3,3.0
765778985.0,7.9,2.0
763309853.0,7.6,7.0
762915868.0,5.9,3.0
761583831.0,7.3,1.0
761583831.0,7.3,1.0
760162252.0,7.1,5.0
759615711.0,7.6,10.0
743645445.0,8.2,1.0
743645445.0,8.2,1.0
743645445.0,8.2,1.0
743645445.0,8.2,1.0
743645445.0,8.2,1.0
743645445.0,8.2,1.0
743645445.0,8.2,1.0
733448507.0,7.1,9.0
722153179.0,6.8,1.0
722153179.0,6.8,1.0
722153179.0,6.8,1.0
722153179.0,6.8,1.0
722153179.0,6.8,1.0
721292303.0,7.5,6.0
716382772.0,6.7,1.0
716382772.0,6.7,1.0
716382772.0,6.7,1.0
713223692.0,8.7,1.0
713223692.0,8.7,1.0
703618507.0,8.1,1.0
703618507.0,8.1,1.0
703618507.0,8.1,1.0
703618507.0,8.1,1.0
703618507.0,8.1,1.0
703618507.0,8.1,1.0
703618507.0,8.1,1.0
703278895.0,7.6,5.0
700262896.0,8.0,1.0
687669957.0,6.8,2.0
686409969.0,7.0,2.0
685789195.0,7.0,3.0
683326951.0,7.4,10.0
676967112.0,7.4,4.0
676520529.0,7.4,1.0
670268730.0,7.0,1.0
670268730.0,7.0,1.0
670268730.0,7.0,1.0
668990057.0,6.9,4.0
661740610.0,7.4,2.0
653199877.0,8.1,2.0
651104202.0,7.3,2.0
648798617.0,5.9,1.0
648798617.0,5.9,1.0
648798617.0,5.9,1.0
648798617.0,5.9,1.0
648798617.0,5.9,1.0
648798617.0,5.9,1.0
646960691.0,7.4,1.0
644351226.0,7.8,1.0
644351226.0,7.8,1.0
644351226.0,7.8,1.0
644351226.0,7.8,1.0
643737079.0,7.2,2.0
643046596.0,8.0,2.0
643046596.0,8.0,2.0
643046596.0,8.0,2.0
643046596.0,8.0,2.0
641741967.0,8.1,1.0
641741967.0,8.1,1.0
641741967.0,8.1,1.0
